InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick grew up troubled household.,"He never found good support family , and turned gangs.",It was n't long Rick got shot robbery.,incident caused him turn new leaf.,He is happy now.,He joined gang.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne needs prepare something friend party.,She decides bake batch brownies.,She chooses recipe and follows it closely.,Laverne tests one brownies make sure it is delicious.,brownies are so delicious Laverne eats two them.,Laverne does n't go friend party.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah had been dreaming visiting Europe years.,She had finally saved enough trip.,She landed Spain and traveled east continent.,She did n't like how different everything was.,Sarah then decided move Europe.,Sarah decided she preferred home Europe.,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina was worried cookie dough tube would be gross.,She was very happy find she was wrong.,cookies tube were as good scratch.,Gina intended only eat 2 cookies and save rest.,Gina liked cookies so much she ate them all one sitting.,Gina gave cookies away church.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,It was final performance marching band.,I was playing snare drum band.,We played Thriller and Radar Love.,performance was flawless.,I was very proud performance.,I was very ashamed performance.,1
0f65bab6-8165-4361-980a-117046569fe2,I had been giving homeless man change everyday.,He was same corner house.,"One day , I was driving neighborhood I saw new car.","Soon enough , I saw same homeless man emerge it!",next day I gave man twenty dollars.,I never gave man money again.,2
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim found old disposable camera bottom junk drawer.,He began snapping away everything him.,counter clicked down one final photo.,gravity situation began dawn Jim.,Jim took time decide what he would take picture.,Jim took 20 more photos.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron started new job landscaper today.,He loves outdoors and has always enjoyed working it.,boss tells him re - sod front yard mayor home.,"Ron is ecstatic , but does thorough job and finishes super early.",Ron is immediately fired insubordination.,boss commends him job well done.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,John and Billy became very skilled beer pong.,They entered contest college.,They won contest and advanced next level.,next level sent them Vegas.,"Vegas , John and Billy competed eighty contestants.",John and Billy were disappointed.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline was student medical school.,Caroline worked very hard get good grades.,One day Caroline failed test one point.,Caroline was very frustrated but she continued study hard.,But she gave up.,"Later , she passed test.",2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish hated outdoors.,friends convinced her go camping.,She was n't having good time.,They showed her how fish and showed her stars.,Eventually Trish grudgingly came accept nature.,fish had very interesting mating habits.,1
8b5fd74e-bb54-48f7-8c50-ea9cf30a7fbc,man walked up Corey he pumped gas car.,guy admired Corey car and started conversation.,Corey felt something was wrong.,"When he finished pumping gas , man punched Corey.",Corey did n't mind at all.,"When Corey came , both man and car were gone.",2
736f326b-48ea-439b-821b-6365e38773e9,Marcy received valentine boyfriend.,It was card gift card it chocolates.,She was happy and immediately ordered chocolates.,boyfriend came over and asked she liked it.,Marcy gave boyfriend big kiss and said.,Marcy shrugged shoulders and reached TV remote.,1
caa0244b-9388-409e-b50a-5e305336e540,Cara went food cart Philadelphia other day.,She stopped amazing falafel cart.,food was amazing.,Cara could n't believe how good it was.,Cara told owner food was awful.,Cara decided eat food cart week.,2
a7905e16-15be-433f-bdef-b488a83e4582,Tony was happy be going first cruise.,He arrived docks and was ready all luggage.,When he walked corner he could n't believe size it.,He boarded and ship left docks.,Tony enjoyed going cruise.,Tony was scared ocean.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio wants play sport he is college.,"he was good swimmer , he decides try out swim team.",Ignacio makes it team easily.,"first swim meet , Ignacio wins second place!",Ignacio gave up swimming.,Ignacio won silver medal.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny bought boat.,nearby marina was having race.,He decided enter.,Danny and best friend manned boat.,Danny decided go sleep.,They prepared start race.,2
0fe46de6-6ee3-4932-a578-268917372566,"school , Mary received assignment write essay pandas.","Luckily , Mary loved pandas , was excited get started.","As soon she got home , Mary booted up computer and began.",She wrote all she knew and researched little too!,Mary disliked Pandas.,Mary could n't wait present report.,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen dreamed winning prize roses.,She planned enter special purple rose fair.,She fertilized rose bush and covered it night.,roses grew more beautiful day.,Ellen ended up winning prize.,Ellen had pay replacement fee library card.,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,Jesse had just started fifth grade.,"He tried make friends other boys , but he could n't.",He decided make friends girls instead.,girls welcomed him social groups happily.,"Jesse went park new friend , Roger.",Jesse was picked on other boys school.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany was getting overwhelmed work.,"she liked job , she longed break.","One day , she tripped outside uneven pavement.",She broke ankle and had be work couple months.,Tiffany went in work next day.,She was pain but happy not have go work.,2
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina misplaced phone grandparents.,It was n't living room.,She had been car napping living room.,She grabbed dad keys and ran outside.,But she did n't want phone anymore.,She found phone car.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice was getting married few weeks.,"One night , mother called and she forgot call her back.",mother left angry message phone.,She threatened not come wedding.,Alice called mother and apologized profusely.,Alice messaged cute guy she saw Tinder.,1
ba87797c-dc31-402b-8740-d30c093d4df7,Ted loves go movies.,He sees almost everyone and votes Oscars.,He has big party Oscars and they all place bets.,Ted almost always wins movies he chooses.,Ted continues watch several movies week.,He decides stop watching movies.,1
384621a9-d9b6-436d-8914-61a93d916015,Nya had been asked paintball trip friends.,She was nervous going.,"But she went anyways , hoping have fun.",She shot paintballs friends and laughed whole time.,She loved it so much she planned trip next week.,She was shot and vowed never go there again.,1
f531b039-67a6-4797-989d-24f716ed4073,All Javier friends school have smartphones.,"However , he still uses old style flip phone.",One day he decides buy smartphone too.,first he loves having access internet everywhere he goes.,Javier decides get smartphone.,But then he misses old phone.,2
60facd71-c194-427a-9127-471d5844785e,Rachel decided donate blood local blood drive.,She was little nervous this was first time.,next day Rachel received call doctor that she saw.,doctor told her he had bad news.,Rachel broke down tears.,Rachel started moonwalking excitement.,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron was watching high speed chase TV.,cop was chasing bad guy neighborhood.,It was terrifying!,But then cop caught bad guy.,Ron started collecting bottle caps.,Ron applauded officer performance.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loved old belt.,He matched it everything.,Unfortunately he gained too much weight.,It became too small.,Sam went diet.,Sam was happy.,1
696b1a71-b684-45ec-8435-7b48274ee411,Larry bought new motorcycle.,He was excited look cool.,first time he tried riding it he dropped it.,He hurt leg and had go hospital.,Larry loved going hospital.,Larry became careful.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went blind date few days ago.,She was cute and friendly.,We were set up co worker.,We seem have things common.,Soon we were boyfriend and girlfriend and thinking marriage.,We broke up right away.,1
