InputStoryid,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,The incident caused him to turn a new leaf.,He is happy now.,He joined a gang.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne tests one of the brownies to make sure it is delicious.,The brownies are so delicious Laverne eats two of them.,Laverne doesn't go to her friend's party.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,She didn't like how different everything was.,Sarah then decided to move to Europe.,Sarah decided that she preferred her home over Europe.,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina intended to only eat 2 cookies and save the rest.,Gina liked the cookies so much she ate them all in one sitting.,Gina gave the cookies away at her church.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,The performance was flawless.,I was very proud of my performance.,I was very ashamed of my performance.,1
0f65bab6-8165-4361-980a-117046569fe2,"Soon enough, I saw the same homeless man emerge from it!",The next day I gave the man twenty dollars.,I never gave the man money again.,2
d80cabdd-7a85-47e3-86be-5ce6591ca51e,The gravity of the situation began to dawn on Jim.,Jim took time to decide what he would take a picture of.,Jim took 20 more photos.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,"Ron is ecstatic, but does a thorough job and finishes super early.",Ron is immediately fired for insubordination.,His boss commends him for a job well done.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,The next level sent them to Vegas.,"In Vegas, John and Billy competed against eighty contestants.",John and Billy were disappointed.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline was very frustrated but she continued to study hard.,But she gave up.,"Later, she passed the test.",2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,They showed her how to fish and showed her the stars.,Eventually Trish grudgingly came to accept nature.,The fish had very interesting mating habits.,1
8b5fd74e-bb54-48f7-8c50-ea9cf30a7fbc,"When he finished pumping gas, the man punched Corey.",Corey didn't mind at all.,"When Corey came to, both the man and his car were gone.",2
736f326b-48ea-439b-821b-6365e38773e9,Her boyfriend came over and asked if she liked it.,Marcy gave her boyfriend a big kiss and said yes.,Marcy shrugged her shoulders and reached for the TV remote.,1
caa0244b-9388-409e-b50a-5e305336e540,Cara couldn't believe how good it was.,Cara told the owner that the food was awful.,Cara decided to eat at the food cart every week.,2
a7905e16-15be-433f-bdef-b488a83e4582,He boarded and the ship left the docks.,Tony enjoyed going on the cruise.,Tony was scared of the ocean.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,"At the first swim meet, Ignacio wins second place!",Ignacio gave up swimming.,Ignacio won a silver medal.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny and his best friend manned the boat.,Danny decided to go to sleep.,They prepared for the start of the race.,2
0fe46de6-6ee3-4932-a578-268917372566,She wrote about all she knew and researched a little too!,Mary disliked Pandas.,Mary couldn't wait to present her report.,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,The roses grew more beautiful every day.,Ellen ended up winning the prize.,Ellen had to pay a replacement fee for her library card.,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,They girls welcomed him into their social groups happily.,"Jesse went to the park with his new friend, Roger.",Jesse was picked on by the other boys in school.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,She broke her ankle and had to be off work for a couple months.,Tiffany went in to work the next day.,She was in pain but happy to not have to go to work.,2
501c6884-8885-4df3-ae8c-f3f9328fde54,She grabbed her dad's keys and ran outside.,But she didn't want her phone anymore.,She found her phone in the car.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,She threatened not to come to the wedding.,Alice called her mother and apologized profusely.,Alice messaged a cute guy she saw on Tinder.,1
ba87797c-dc31-402b-8740-d30c093d4df7,Ted almost always wins with the movies he chooses.,Ted continues to watch several movies a week.,He decides to stop watching movies.,1
384621a9-d9b6-436d-8914-61a93d916015,She shot paintballs at her friends and laughed the whole time.,She loved it so much she planned a trip for the next week.,She was shot and vowed to never go there again.,1
f531b039-67a6-4797-989d-24f716ed4073,At first he loves having the access to internet everywhere he goes.,Javier decides to get a smartphone.,But then he misses his old phone.,2
60facd71-c194-427a-9127-471d5844785e,The doctor told her that he had bad news.,Rachel broke down in tears.,Rachel started moonwalking with excitement.,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,But then the cop caught the bad guy.,Ron started collecting bottle caps.,Ron applauded the officer's performance.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,It became too small.,Sam went on a diet.,Sam was happy.,1
